106年04月14日　三大法人買賣超日報 (股)
"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數"
="2727","王品            ","207,000","25,000","182,000","0","0","0","-23,000","0","0","0","2,000","25,000","-23,000","159,000",
="2723","美食-KY         ","38,000","33,000","5,000","0","1,000","-1,000","-1,000","1,000","2,000","-1,000","0","0","0","3,000",
="2701","萬企            ","1,000","0","1,000","0","0","0","0","0","0","0","0","0","0","1,000",
="2731","雄獅            ","6,000","13,000","-7,000","0","0","0","6,000","8,000","2,000","6,000","0","0","0","-1,000",
="2739","寒舍            ","0","3,000","-3,000","0","0","0","0","0","0","0","0","0","0","-3,000",
="2704","國賓            ","1,000","7,000","-6,000","0","0","0","0","0","0","0","0","0","0","-6,000",
="9943","好樂迪          ","19,000","28,000","-9,000","0","3,000","-3,000","0","0","0","0","0","0","0","-12,000",
="2706","第一店          ","2,000","15,000","-13,000","0","0","0","0","0","0","0","0","0","0","-13,000",
="2705","六福            ","3,000","19,000","-16,000","0","0","0","0","0","0","0","0","0","0","-16,000",
="2748","雲品            ","0","16,000","-16,000","0","0","0","0","0","0","0","0","0","0","-16,000",
="2707","晶華            ","12,000","47,000","-35,000","0","0","0","0","0","0","0","0","0","0","-35,000",
"說明："
"1.自營商表示證券自營商專戶。"
"2.投信表示本國投資信託基金。"
"3.外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記之投資人。"
"4.本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"5.本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"6.ETF證券代號第六碼為K、M、S者，表示該ETF以外幣（含人民幣）交易。"
